Event ID,Event Name,Event Date,Venue,Ticket Limit,Ticket Limit Info,Segment,Genre,Standard Price Min,Standard Price Max,Product Name,Product Type,City,State,Box Office Information,Open hours,will Call Details,Parking Info,Longitude,Latitude,Average Price,Box Office Phone
G5v0Z9Yc3BZyy,Phoenix Suns vs. Memphis Grizzlies,2023-12-02,Footprint Center,4,"Footprint Center is now a cashless environment. Please plan on using Visa, Mastercard, American Express or Discover during your visit. Don't have a credit/debit card? Convert cash into a preloaded Mastercard by visiting one of our reverse ATMs located near the Ticket Office or Section 218! When you purchase a ticket to a Footprint Center event, you can ride the Valley Metro Light Rail at no cost for four (4) hours prior to the event through the end of the transit day. With an increased focus on secure, contactless entry, mobile tickets will be required. All tickets will be delivered electronically with no exceptions, therefore will call is no longer available. All tickets are available via the Ticketmaster app or the Suns-Mercury-Footprint Center app. Standard ticket limit is six (6). Presales and first day of general on sale ticket limit is four (4). To purchase more tickets, please call 602.379.SUNS to find out about group tickets.",Sports,Basketball,48.0,3870.0,PARKWHIZ FOOTPRINT CENTER,Upsell,Footprint Center,Arizona,Northwest side of Footprint Center in the Pavilion.(602)379-7800 Suns Game Nights call (602)379-7867,"The Footprint Center ticket office will be open at 3pm on weekday events and three (3) hours prior to event time for weekends. For any further questions or ticket inquiries, please reach out to feedback@suns.com or call the Footprint Center ticket office at (602) 379-7800.","The WILL CALL windows open two hours prior to events and are located on the Northwest side of the building in the Pavilion. WILL CALL PICK-UP: The Footprint Center requires that customers picking up WILL CALL tickets furnish the following: 1) PICTURE IDENTIFICATION THAT MATCHES THE PICK-UP NAME 2) CONFIRMATION NUMBER THAT MATCHES THE CUSTOMER ACCOUNT ALTERNATE WILL CALL PICK-UP: If another person, other than the person ordering and paying for the tickets, is picking up a WILL CALL order, the ALTERNATE PICK-UP name MUST be on the account. To get the alternate pick-up name noted on the account, the original purchaser MUST contact Ticketmaster at (1-800-745-3000), ask for customer service to verify account information and request alternate pick-up.",Adjacent parking structure at 1st and Madison. Many other parking lots and structures within a 10 minute walk of Footprint Center. Prices vary by event. Parking and Direction hotline (602)514-8472,-112.071313,33.445899,1959.0,Not Available
G5vYZ9svB7-aF,Golden State Warriors vs. Phoenix Suns,2024-02-10,Chase Center,4,Not Available,Sports,Basketball,250.0,3300.0,PARKWHIZ CHASE CENTER,Upsell,Chase Center,California,For Golden State Warriors: Ticket Sales: 1-888-GSW-HOOP (option 1) Group Sales: 1-888-GSW-HOOP (option 2) Account Service: 1-888-GSW-HOOP (option 3) Grandview Suites 1-888-GSW-HOOP (option 4) Administration: (510) 986-2200,Monday-Friday: 10AM - 4PM // Weekends: Only on event days pending door times.,"Will Call tickets may be picked-up at the Chase Center box office with a valid government issued photo I.D. that matches the name on the order, the credit card used to make the purchase, and the confirmation number given at the time of purchase are provided. VIP PACKAGES are subject to the package providers rules for pick up. For the box office to release tickets not in your name you need to submit a written letter of authorization along with a copy of the driver’s license of the party whose name is on the account.",Not Available,-122.387464,37.76797,1775.0,510986-2200
G5eFZ9sQP9jM0,Orlando Magic vs Phoenix Suns,2024-01-28,Amway Center,4,Not Available,Sports,Basketball,63.0,3061.5,Parking: Magic v Suns,Parking,Amway Center,Florida,"Venue information : 407.440.7900 Groups Sales: Amway Center events: 407.440.7900 Orlando Magic games: 407.896.2442, select ""2"".",Hours of Operation: Monday - Friday / 9 a.m. - 3 p.m. Summer and holiday hours may apply.,"To pick up tickets, a valid government-issued photo identification is required. Hours: Monday - Friday / 9 a.m. - 3 p.m. and three (3) hours prior to any event. Location: On Church Street (north side of venue).",Not Available,-81.383957,28.539293,1562.25,Not Available
G5v0Z9Yc3HOBF,Phoenix Suns vs. Brooklyn Nets,2023-12-13,Footprint Center,4,"Footprint Center is now a cashless environment. Please plan on using Visa, Mastercard, American Express or Discover during your visit. Don't have a credit/debit card? Convert cash into a preloaded Mastercard by visiting one of our reverse ATMs located near the Ticket Office or Section 218! When you purchase a ticket to a Footprint Center event, you can ride the Valley Metro Light Rail at no cost for four (4) hours prior to the event through the end of the transit day. With an increased focus on secure, contactless entry, mobile tickets will be required. All tickets will be delivered electronically with no exceptions, therefore will call is no longer available. All tickets are available via the Ticketmaster app or the Suns-Mercury-Footprint Center app. Standard ticket limit is six (6). Presales and first day of general on sale ticket limit is four (4). To purchase more tickets, please call 602.379.SUNS to find out about group tickets.",Sports,Basketball,88.0,3870.0,PARKWHIZ FOOTPRINT CENTER,Upsell,Footprint Center,Arizona,Northwest side of Footprint Center in the Pavilion.(602)379-7800 Suns Game Nights call (602)379-7867,"The Footprint Center ticket office will be open at 3pm on weekday events and three (3) hours prior to event time for weekends. For any further questions or ticket inquiries, please reach out to feedback@suns.com or call the Footprint Center ticket office at (602) 379-7800.","The WILL CALL windows open two hours prior to events and are located on the Northwest side of the building in the Pavilion. WILL CALL PICK-UP: The Footprint Center requires that customers picking up WILL CALL tickets furnish the following: 1) PICTURE IDENTIFICATION THAT MATCHES THE PICK-UP NAME 2) CONFIRMATION NUMBER THAT MATCHES THE CUSTOMER ACCOUNT ALTERNATE WILL CALL PICK-UP: If another person, other than the person ordering and paying for the tickets, is picking up a WILL CALL order, the ALTERNATE PICK-UP name MUST be on the account. To get the alternate pick-up name noted on the account, the original purchaser MUST contact Ticketmaster at (1-800-745-3000), ask for customer service to verify account information and request alternate pick-up.",Adjacent parking structure at 1st and Madison. Many other parking lots and structures within a 10 minute walk of Footprint Center. Prices vary by event. Parking and Direction hotline (602)514-8472,-112.071313,33.445899,1979.0,Not Available
vvG1VZ9sda8rKs,Miami Heat vs. Phoenix Suns,2024-01-29,Kaseya Center,4,Not Available,Sports,Basketball,30.0,550.0,Bayside Marketplace Garage Parking: Miami HEAT vs. Phoenix Suns,Parking,Kaseya Center,Florida,Miami HEAT & Arena Event Sales Information: • Miami HEAT Season Tickets & Partial Plans (786) 777 HOOP • Miami HEAT Group Tickets (786) 777 DUNK • Miami HEAT Premium Seats (Courtside/Flagship/Suites/Loges) (786) 777 4320 • Arena Event Suite Sales (786) 777 1000 • Group Ticket & Fundraising Opportunities for Arena Family Shows (786) 777 4FUN (4386),Kaseya Center will only be open on event days. Arena Box Office Information (786) 777-1250,Will Call is located at the Ticketmaster Box Office on the North Side of the Arena located between Gates 3 & 4. Valid ID required to pick up Will Call Tickets,Suggested Parking Information: http://d2yex7fc50u2fe.cloudfront.net/pdfs/ Event_parking_options.pdf,-80.187805,25.781232,290.0,Not Available
G5dZZ9Y2CCSkv,Brooklyn Nets v. Phoenix Suns,2024-01-31,Barclays Center,4,Not Available,Sports,Basketball,55.0,6750.0,Not Available,Not Available,Barclays Center,New York,"To reach Barclays Center, please call 917-618-6100 or visit barclayscenter.com and use the chat feature.",Not Available,Not Available,Parking near Barclays Center is extremely limited and all guests are strongly encouraged to use mass transit. Barclays Center does not own or operate any garages.,-73.97519,40.68285,3402.5,917-618-6100
vvG1HZ9YN-RJDT,Portland Trail Blazers vs. Phoenix Suns,2023-12-19,Moda Center,4,"Bags and full-length umbrellas are not allowed in the arena. Exclusions apply for medical bags, children's bags and clutches 5X8"" or smaller. Bag check is available.",Sports,Basketball,28.0,3900.0,East/West Garage Parking for Trail Blazers,Parking,Moda Center,Oregon,Box Office: (503) 797-9619 Group Sales: (503) 963-4400,Monday - Friday: 10am - 5pm Saturday and Sunday hours vary.,Tickets held at will call can be picked up on the day of the performance at the box office beginning 2 hours prior to the event. The customer must present valid form of picture identification and the credit card used for purchase.,"On-site parking at the Garden Garage, the East/West Broadway Garages, and at all times for restaurant and retail parking at the One Center Court Garage. Parking may be purchased in advance at all Ticketmaster Ticket Center locations or by Charge-By-Phone: 800-745-3000.",-122.66645813,45.53118896,1964.0,503797-9619
G5v0Z9YcKv8Bt,Phoenix Suns vs. Charlotte Hornets,2023-12-29,Footprint Center,4,"Footprint Center is now a cashless environment. Please plan on using Visa, Mastercard, American Express or Discover during your visit. Don't have a credit/debit card? Convert cash into a preloaded Mastercard by visiting one of our reverse ATMs located near the Ticket Office or Section 218! When you purchase a ticket to a Footprint Center event, you can ride the Valley Metro Light Rail at no cost for four (4) hours prior to the event through the end of the transit day. With an increased focus on secure, contactless entry, mobile tickets will be required. All tickets will be delivered electronically with no exceptions, therefore will call is no longer available. All tickets are available via the Ticketmaster app or the Suns-Mercury-Footprint Center app. Standard ticket limit is six (6). Presales and first day of general on sale ticket limit is four (4). To purchase more tickets, please call 602.379.SUNS to find out about group tickets.",Sports,Basketball,96.0,4299.0,PARKWHIZ FOOTPRINT CENTER,Upsell,Footprint Center,Arizona,Northwest side of Footprint Center in the Pavilion.(602)379-7800 Suns Game Nights call (602)379-7867,"The Footprint Center ticket office will be open at 3pm on weekday events and three (3) hours prior to event time for weekends. For any further questions or ticket inquiries, please reach out to feedback@suns.com or call the Footprint Center ticket office at (602) 379-7800.","The WILL CALL windows open two hours prior to events and are located on the Northwest side of the building in the Pavilion. WILL CALL PICK-UP: The Footprint Center requires that customers picking up WILL CALL tickets furnish the following: 1) PICTURE IDENTIFICATION THAT MATCHES THE PICK-UP NAME 2) CONFIRMATION NUMBER THAT MATCHES THE CUSTOMER ACCOUNT ALTERNATE WILL CALL PICK-UP: If another person, other than the person ordering and paying for the tickets, is picking up a WILL CALL order, the ALTERNATE PICK-UP name MUST be on the account. To get the alternate pick-up name noted on the account, the original purchaser MUST contact Ticketmaster at (1-800-745-3000), ask for customer service to verify account information and request alternate pick-up.",Adjacent parking structure at 1st and Madison. Many other parking lots and structures within a 10 minute walk of Footprint Center. Prices vary by event. Parking and Direction hotline (602)514-8472,-112.071313,33.445899,2197.5,Not Available
vvG1jZ9sTtWKwe,Milwaukee Bucks vs. Phoenix Suns,2024-03-17,Fiserv Forum,4,Not Available,Sports,Basketball,33.0,3930.0,Not Available,Not Available,Fiserv Forum,Wisconsin,"To speak to a customer representative for the Fiserv Forum Ticket Office, call (414) 227-0511. Representatives are available Monday-Friday 9AM to 5:30PM. Alternatively, you can email at ticketing@bucks.com and a Ticket Office representative will get back to you within 1 business day. To book ADA seating for all events at Fiserv Forum, click the ADA icon on the event page on Ticketmaster.com. If you need further assistance with ADA Seating, please call Ticketmaster at 1-800-877-7575 to speak to an Accessible Seating Fan Support Specialist. For General Assistance with Ticketmaster tickets call 1-800-653-8000 to speak with Ticketmaster Customer Service","The Ticket Office is open on event days from 12:00pm (or 3 hours prior to event, whichever is earliest) until approximately 1 hour into the event, and on Saturdays from 12:00pm until 4:00pm. The Ticket Office is closed on non-event weekdays. The Ticket Office is located next to the main entrance to the arena, adjacent to the plaza (Vel R Phillips and Juneau). Any questions can be directed to our main line (414 227-0504 from 10AM-4PM.)","Orders placed through Ticketmaster have standard delivery options available, including mobile delivery, standard and UPS mail. Will Call pickup is available day of event only. Please bring valid, corresponding ID with you for collection. *Please note that Print-at-Home is not be available as a delivery option for this venue.",Advance parking at the 5th Street Parking Garage or Highland Parking Garage can be purchased during your checkout process when buying event tickets online as well as by purchasing from parking events that can be found by searching for 5th Street Parking or Highland Parking Garage on Ticketmaster.com.,-87.916896,43.04228,1981.5,414227-0511
G5v0Z9Yc3-8MC,Phoenix Suns vs. Miami Heat,2024-01-05,Footprint Center,4,"Footprint Center is now a cashless environment. Please plan on using Visa, Mastercard, American Express or Discover during your visit. Don't have a credit/debit card? Convert cash into a preloaded Mastercard by visiting one of our reverse ATMs located near the Ticket Office or Section 218! When you purchase a ticket to a Footprint Center event, you can ride the Valley Metro Light Rail at no cost for four (4) hours prior to the event through the end of the transit day. With an increased focus on secure, contactless entry, mobile tickets will be required. All tickets will be delivered electronically with no exceptions, therefore will call is no longer available. All tickets are available via the Ticketmaster app or the Suns-Mercury-Footprint Center app. Standard ticket limit is six (6). Presales and first day of general on sale ticket limit is four (4). To purchase more tickets, please call 602.379.SUNS to find out about group tickets.",Sports,Basketball,96.0,4300.0,PARKWHIZ FOOTPRINT CENTER,Upsell,Footprint Center,Arizona,Northwest side of Footprint Center in the Pavilion.(602)379-7800 Suns Game Nights call (602)379-7867,"The Footprint Center ticket office will be open at 3pm on weekday events and three (3) hours prior to event time for weekends. For any further questions or ticket inquiries, please reach out to feedback@suns.com or call the Footprint Center ticket office at (602) 379-7800.","The WILL CALL windows open two hours prior to events and are located on the Northwest side of the building in the Pavilion. WILL CALL PICK-UP: The Footprint Center requires that customers picking up WILL CALL tickets furnish the following: 1) PICTURE IDENTIFICATION THAT MATCHES THE PICK-UP NAME 2) CONFIRMATION NUMBER THAT MATCHES THE CUSTOMER ACCOUNT ALTERNATE WILL CALL PICK-UP: If another person, other than the person ordering and paying for the tickets, is picking up a WILL CALL order, the ALTERNATE PICK-UP name MUST be on the account. To get the alternate pick-up name noted on the account, the original purchaser MUST contact Ticketmaster at (1-800-745-3000), ask for customer service to verify account information and request alternate pick-up.",Adjacent parking structure at 1st and Madison. Many other parking lots and structures within a 10 minute walk of Footprint Center. Prices vary by event. Parking and Direction hotline (602)514-8472,-112.071313,33.445899,2198.0,Not Available
vvG1HZ9YN-SUH3,Portland Trail Blazers vs. Phoenix Suns,2024-01-14,Moda Center,4,"Bags and full-length umbrellas are not allowed in the arena. Exclusions apply for medical bags, children's bags and clutches 5X8"" or smaller. Bag check is available.",Sports,Basketball,37.0,5100.0,East/West Garage Parking for Trail Blazers,Parking,Moda Center,Oregon,Box Office: (503) 797-9619 Group Sales: (503) 963-4400,Monday - Friday: 10am - 5pm Saturday and Sunday hours vary.,Tickets held at will call can be picked up on the day of the performance at the box office beginning 2 hours prior to the event. The customer must present valid form of picture identification and the credit card used for purchase.,"On-site parking at the Garden Garage, the East/West Broadway Garages, and at all times for restaurant and retail parking at the One Center Court Garage. Parking may be purchased in advance at all Ticketmaster Ticket Center locations or by Charge-By-Phone: 800-745-3000.",-122.66645813,45.53118896,2568.5,503797-9619
